time,event,membership_category,feedback_negative,points_in_wallet,avg_transaction_value,avg_frequency_login_days,past_complaint,gender,region_category,age
136,0,Platinum Membership,0,781.75,53005.25,17.0,0,F,Village,18.0
125,0,Premium Membership,0,,12838.38,10.0,1,F,City,32.0
415,1,No Membership,1,500.69,21027.0,22.0,1,F,Town,44.0
428,1,No Membership,1,567.66,25239.56,6.0,1,M,City,37.0
110,1,No Membership,1,663.06,24483.66,16.0,1,F,City,31.0
723,0,Gold Membership,1,722.27,13884.77,24.0,1,M,City,13.0
1018,0,Gold Membership,1,756.21,8982.5,28.0,1,M,Town,21.0
537,1,No Membership,1,568.08,44554.82,24.0,1,M,,42.0
382,0,Silver Membership,1,,18362.31,20.0,1,M,Village,44.0
396,1,No Membership,1,706.23,19244.16,28.0,1,F,Town,45.0
588,1,Basic Membership,1,699.7,35119.93,8.0,0,F,Village,25.0
718,0,Gold Membership,1,798.12,41672.02,33.02434314076341,0,M,City,60.0
1065,1,No Membership,1,608.26,44007.18,18.0,1,M,Town,11.0
389,1,Basic Membership,1,,21318.19,6.0,0,M,City,34.0
407,0,Premium Membership,1,,14842.62,26.0,0,M,City,40.0
175,1,Basic Membership,1,141.5132013118415,18792.31,7.0,1,F,Town,16.0
704,1,No Membership,1,,47241.32,8.0,1,F,City,57.0
363,0,Silver Membership,1,733.97,29072.86,26.0,0,M,Town,11.0
60,1,No Membership,1,551.11,33170.16,6.0,1,M,Town,39.0
697,0,Premium Membership,0,164.80076897738957,66982.61,8.0,1,M,City,45.0
759,1,No Membership,1,703.96,44289.97,25.0,0,M,Village,33.0
520,1,No Membership,1,630.61,49404.86,23.0,1,M,Village,30.0
343,0,Platinum Membership,0,389.3564431980522,52702.67,3.0,1,F,Town,19.0
870,1,No Membership,1,225.00442762412777,21725.57,21.0,0,M,City,43.0
631,0,Silver Membership,1,777.31,12069.06,7.0,0,F,Town,29.0
782,0,Gold Membership,1,757.7,8515.5,6.0,0,M,City,10.0
388,1,No Membership,1,687.26,42743.44,12.0,0,F,Village,20.0
231,1,Silver Membership,1,710.38,29156.1,10.0,1,F,Village,61.0
719,1,Gold Membership,1,634.88,15719.24,10.0,1,M,Town,10.0
767,1,No Membership,1,633.05,31100.95,11.0,1,F,City,17.0
424,1,No Membership,1,,48125.94,27.0,0,M,Town,60.0
521,0,Gold Membership,0,836.08,60143.68,4.0,1,F,,11.0
182,0,Gold Membership,1,711.76,1773.49,6.0,0,M,City,60.0
1035,0,Premium Membership,1,721.36,26105.24,7.0,0,M,City,12.0
815,1,Silver Membership,1,158.54776452544024,10101.48,28.0,0,M,Town,52.0
444,1,Basic Membership,1,574.01,21111.9,23.0,1,M,City,30.0
32,1,No Membership,1,,41979.65,9.0,0,M,,26.0
183,1,No Membership,1,568.34,5912.06,13.0,0,F,Town,26.0
205,0,Platinum Membership,1,780.58,19062.25,,0,F,Village,49.0
447,0,Premium Membership,1,745.49,35531.98,25.0,0,M,City,24.0
212,1,No Membership,1,650.44,8415.63,17.0,1,M,Town,22.0
332,0,Premium Membership,1,752.3,34697.85,19.0,1,F,Town,33.0
742,0,Platinum Membership,0,824.95,94100.72,4.0,0,M,City,17.0
398,1,Silver Membership,1,,17989.46,,1,M,Village,36.0
321,0,Premium Membership,0,,55607.35,,0,M,City,12.0
52,0,Gold Membership,1,713.62,48080.03,10.0,0,F,Village,58.0
406,0,Platinum Membership,1,743.8,27528.03,27.0,0,M,Town,41.0
751,0,Platinum Membership,0,719.93,86433.91,,1,M,City,30.0
798,0,Premium Membership,1,,24197.4,29.0,1,M,City,50.0
77,0,Gold Membership,1,770.31,28535.13,27.0,1,M,Town,38.0
1069,1,Silver Membership,1,704.4,25000.09,16.0,0,M,City,20.0
427,0,Gold Membership,1,729.04,30984.56,11.0,0,F,Village,35.0
249,0,Premium Membership,1,700.4,9091.94,20.0,0,M,Town,43.0
160,0,Silver Membership,1,,19822.82,43.36004149963438,0,M,City,32.0
862,0,Platinum Membership,0,1087.184702164714,63416.63,12.0,1,F,Town,40.0
132,0,Silver Membership,1,709.73,24045.93,8.0,0,F,Town,40.0
289,1,No Membership,1,503.95,49270.76,12.0,0,F,Town,48.0
965,0,Premium Membership,1,779.59,48679.07,6.0,0,M,Town,35.0
228,0,Gold Membership,0,820.91,13131.05,13.0,0,M,Village,28.0
495,1,No Membership,1,553.45,7603.71,,1,F,,44.0
937,1,Basic Membership,1,656.67,25436.23,,0,M,,10.0
34,1,No Membership,1,548.1,22975.33,18.0,0,M,Town,35.0
1000,1,No Membership,1,663.63,29602.15,24.0,1,M,Town,43.0
63,1,Basic Membership,1,,20883.28,14.0,0,M,Village,28.0
338,0,Platinum Membership,1,302.005898539957,46353.54,19.0,1,M,Town,53.0
119,0,Premium Membership,1,749.56,8996.95,,1,F,Town,55.0
206,1,No Membership,1,,12556.28,10.0,0,F,Town,59.0
395,1,No Membership,1,674.42,2645.63,23.0,0,M,City,39.0
557,1,Gold Membership,1,707.46,8983.02,25.0,1,M,City,11.0
593,1,No Membership,1,713.82,29101.96,18.0,0,M,Village,37.0
269,1,No Membership,1,1032.199126230719,19233.1,25.0,1,M,City,53.0
729,1,No Membership,1,563.92,44341.82,,1,M,Town,57.0
893,0,Silver Membership,1,757.01,26399.43,17.0,1,M,Town,47.0
1075,0,Gold Membership,1,353.3690014856328,17054.69,21.0,1,M,Town,50.0
493,1,Silver Membership,1,1196.5693152600402,41612.23,28.0,1,F,City,49.0
193,1,Silver Membership,1,684.69,42060.89,24.0,1,M,Town,54.0
470,0,Gold Membership,1,,32347.7,27.0,0,M,Village,30.0
864,0,Silver Membership,1,,3561.26,17.0,1,F,City,25.0
1004,0,Premium Membership,0,763.14,9044.15,8.0,1,F,City,53.0
877,1,Basic Membership,1,572.41,11345.66,7.0,1,M,,54.0
444,1,No Membership,1,699.19,47658.52,29.0,1,F,City,62.0
48,1,No Membership,1,628.31,40756.7,26.0,0,F,,30.0
211,1,Silver Membership,1,648.68,25575.44,,1,M,City,30.0
752,0,Premium Membership,1,,48819.9,8.0,1,M,Town,51.0
54,1,Silver Membership,1,,13032.52,6.0,0,M,Village,29.0
55,0,Silver Membership,1,1233.7697272353937,20457.22,5.0,1,M,City,16.0
227,0,Gold Membership,1,788.67,35414.54,20.0,0,F,Village,25.0
178,1,Basic Membership,1,,38802.24,28.0,1,F,City,62.0
124,0,Premium Membership,0,728.69,43554.96,1.0,1,F,Town,24.0
1010,1,No Membership,1,631.15,13954.02,17.0,1,M,City,48.0
131,1,Basic Membership,1,533.05,28071.04,16.0,1,M,Village,56.0
368,1,Basic Membership,1,,15027.14,12.0,0,M,,17.0
514,0,Gold Membership,1,758.83,4919.72,13.0,0,F,Town,23.0
556,1,No Membership,1,404.4897583720529,14661.42,,1,F,City,42.0
740,1,Basic Membership,1,964.8409708374116,2521.3,,1,M,Town,18.0
924,1,Gold Membership,1,630.8,11955.94,24.0,1,M,City,23.0
48,1,Basic Membership,1,522.61,14877.24,25.0,0,F,City,52.0
485,0,Premium Membership,1,741.02,41156.81,27.0,0,F,Town,49.0
231,0,Premium Membership,1,776.36,4207.45,28.0,0,M,,30.0
500,1,Basic Membership,1,634.51,2364.45,,0,F,Town,31.0
434,1,Silver Membership,1,665.63,29825.45,9.0,1,M,City,27.0
616,0,Gold Membership,1,778.27,9454.17,19.0,0,M,City,56.0
494,1,Silver Membership,1,207.16976901801812,11995.93,19.0,0,M,,11.0
262,1,Silver Membership,1,80.09369312905504,6325.08,28.0,0,F,Town,31.0
603,0,Premium Membership,1,766.85,16098.94,21.0,1,M,Town,29.0
620,0,Silver Membership,1,762.48,23226.43,7.0,1,F,City,31.0
1027,1,Basic Membership,1,271.71438129394863,10990.31,16.0,0,F,Town,11.0
165,1,Basic Membership,1,520.33,32302.27,24.0,0,M,Town,14.0
47,0,Silver Membership,1,700.11,17002.23,11.0,0,M,City,26.0
722,0,Premium Membership,1,730.05,48305.86,,0,M,,62.0
384,1,Silver Membership,1,633.22,16186.76,8.0,0,F,Village,43.0
654,0,Gold Membership,1,783.03,46102.66,8.0,0,M,Town,23.0
854,0,Gold Membership,1,757.61,10171.97,23.0,1,M,Town,57.0
780,1,Gold Membership,1,270.4676559723125,46109.6,17.0,0,M,,17.0
937,0,Platinum Membership,1,1207.2537286760455,31504.62,10.0,0,M,City,42.0
660,0,Silver Membership,1,,22865.42,21.0,0,F,City,21.0
290,1,No Membership,1,629.6,44809.68,27.0,0,M,Village,46.0
401,1,Silver Membership,1,630.98,36394.44,26.0,1,M,,41.0
214,1,Basic Membership,1,164.07034816193467,13019.31,14.0,1,M,City,61.0
880,0,Premium Membership,1,743.57,43833.54,15.0,0,F,City,15.0
541,1,Gold Membership,1,670.11,33886.44,5.0,0,M,,56.0
1011,0,Gold Membership,0,1293.1693808393377,70247.76,3.0,0,M,City,35.0
1083,1,No Membership,1,660.25,30248.45,9.0,1,M,Town,57.0
1021,1,No Membership,1,648.6,39981.97,12.0,1,M,Town,64.0
306,1,Basic Membership,1,610.24,21919.13,14.0,1,M,Town,21.0
338,1,Gold Membership,1,699.08,34918.7,6.0,1,F,Town,53.0
188,1,No Membership,1,1016.7857130097486,8025.77,29.0,0,M,Village,26.0
723,0,Gold Membership,1,780.96,45544.33,29.0,1,M,Town,61.0
978,1,No Membership,1,622.45,2554.48,10.0,1,M,Town,30.0
871,0,Gold Membership,1,,49037.16,6.0,0,M,Town,38.0
921,1,Gold Membership,1,701.45,32922.76,8.0,0,F,City,35.0
167,1,No Membership,1,602.86,3862.41,10.0,0,F,,61.0
240,1,Gold Membership,1,671.74,8860.9,6.0,1,M,City,53.0
35,1,No Membership,1,626.96,8944.54,25.0,1,M,Town,55.0
701,1,Basic Membership,1,684.88,26060.01,22.0,1,M,City,23.0
983,0,Premium Membership,1,777.94,33199.52,22.0,1,M,Town,11.0
85,1,No Membership,1,,41050.72,15.0,1,M,Town,22.0
1061,1,Silver Membership,1,326.1310708697294,23587.32,28.0,0,M,Village,37.0
374,0,Platinum Membership,0,,54420.14,5.0,0,M,City,20.0
120,0,Premium Membership,0,,20129.88,12.0,1,M,City,53.0
221,1,Basic Membership,1,627.26,37139.89,20.0,0,F,City,38.0
487,1,Basic Membership,1,697.6,33996.1,38.47159929450214,0,F,City,59.0
674,1,Gold Membership,1,653.12,39610.89,10.0,1,F,Town,50.0
1007,0,Silver Membership,1,,27995.24,18.0,0,F,City,64.0
279,1,Gold Membership,1,,35895.98,21.0,0,F,Town,27.0
85,0,Gold Membership,0,733.13,1313.11,18.0,0,F,Town,12.0
727,0,Premium Membership,0,774.47,18297.21,2.0,1,F,Village,29.0
460,0,Silver Membership,0,959.9204100132208,3888.65,18.0,0,F,City,39.0
224,0,Premium Membership,1,1181.873762583066,6965.48,5.0,0,F,City,37.0
691,0,Gold Membership,0,780.09,63097.55,,0,F,Town,37.0
914,0,Silver Membership,1,727.97,48500.63,11.0,1,M,Town,21.0
96,1,Basic Membership,1,573.16,23211.35,15.0,0,F,Town,64.0
697,0,Silver Membership,1,789.3,28425.26,11.0,0,F,Town,56.0
528,1,Basic Membership,1,616.68,13037.39,13.0,1,F,Town,37.0
450,1,Basic Membership,1,660.59,27564.76,24.0,0,M,Town,55.0
600,1,Basic Membership,1,528.08,49537.82,7.0,1,M,City,18.0
95,0,Silver Membership,0,788.97,83453.57,14.0,1,F,,27.0
66,0,Premium Membership,1,,16340.59,,1,M,Town,57.0
99,1,Basic Membership,1,605.23,49448.05,5.0,1,F,City,48.0
525,1,Basic Membership,1,692.59,45095.33,1.234738898757417,0,M,Town,54.0
102,0,Platinum Membership,1,472.8025703520018,4714.82,24.0,0,F,Town,33.0
301,1,No Membership,1,545.14,6175.77,22.0,0,M,Town,35.0
817,0,Platinum Membership,1,1053.420685435173,33226.66,17.0,1,M,City,42.0
65,1,Gold Membership,1,630.68,42965.53,29.0,1,F,City,39.0
564,1,Gold Membership,1,,20710.0,10.0,1,F,City,50.0
1088,0,Premium Membership,1,753.97,17951.87,17.0,0,M,City,29.0
245,1,Gold Membership,1,644.25,21896.63,13.0,0,F,City,16.0
734,1,Basic Membership,1,556.79,27264.0,11.0,1,M,,48.0
377,1,No Membership,1,582.93,46392.24,24.0,0,F,City,14.0
398,0,Premium Membership,1,1044.8153799682143,10423.83,29.0,1,F,Village,13.0
483,1,No Membership,1,523.54,14117.54,12.0,1,F,Town,56.0
458,0,Silver Membership,0,764.62,67458.29,,1,F,City,64.0
1023,1,No Membership,1,1072.7451280522948,18404.11,19.0,1,M,Town,47.0
882,0,Premium Membership,1,704.13,15786.32,,0,F,Town,46.0
271,0,Premium Membership,1,700.07,1225.14,9.0,1,M,Town,45.0
752,0,Premium Membership,0,761.49,43782.88,,1,F,Town,60.0
641,0,Premium Membership,1,730.04,14432.03,24.0,1,F,Town,19.0
283,0,Silver Membership,1,760.53,38527.24,26.0,1,F,Town,21.0
888,0,Silver Membership,1,744.29,29872.64,8.0,1,M,City,60.0
50,0,Gold Membership,1,757.14,37811.56,27.0,1,M,Town,32.0
22,0,Premium Membership,0,738.84,26571.36,13.0,0,F,Town,36.0
494,1,Basic Membership,1,630.0,45964.8,17.0,1,F,Town,52.0
367,1,No Membership,1,594.51,43632.02,16.0,0,M,Town,39.0
484,0,Silver Membership,1,713.42,26483.73,14.0,0,F,City,42.0
242,1,Silver Membership,1,984.3321161749412,15456.63,29.0,1,M,Town,56.0
172,0,Gold Membership,1,766.76,1246.57,22.0,1,F,Town,17.0
2,0,Premium Membership,1,298.8686939801553,25468.76,,0,F,City,33.0
785,1,Gold Membership,1,709.01,35286.1,,1,F,City,33.0
965,1,Basic Membership,1,,20294.0,23.0,0,M,Town,41.0
232,1,Basic Membership,1,659.85,13516.16,20.0,1,F,City,42.0
231,0,Gold Membership,0,1059.640735763282,16027.34,4.0,1,M,,43.0
934,1,No Membership,1,678.14,2998.4,26.0,1,F,City,12.0
963,1,Basic Membership,1,,14865.87,25.0,1,F,Village,23.0
913,1,Gold Membership,1,,19138.74,12.0,0,F,Town,14.0
805,0,Gold Membership,1,792.37,38497.78,21.0,1,F,Town,62.0
745,1,Gold Membership,1,464.5011749930118,14175.2,,1,M,Town,60.0
526,1,Basic Membership,1,936.3622800699138,47547.72,15.0,1,M,Town,56.0
931,1,Gold Membership,1,614.25,40428.78,23.0,1,M,,41.0
608,0,Gold Membership,0,779.89,46250.9,2.0,0,F,Town,18.0
281,0,Gold Membership,0,,95625.4,13.0,0,M,Village,63.0
23,0,Gold Membership,0,763.15,36383.39,4.0,1,M,City,23.0
62,0,Platinum Membership,1,761.95,15214.2,16.0,0,M,City,17.0
643,0,Gold Membership,1,,39667.91,10.0,0,F,City,42.0
333,0,Silver Membership,1,774.16,36981.7,26.0,1,F,City,31.0
212,0,Gold Membership,0,799.43,35209.09,10.0,1,F,Town,12.0
48,0,Platinum Membership,1,469.5653777647852,15079.52,23.0,0,M,,63.0
58,0,Premium Membership,1,770.66,31418.7,,1,F,Town,16.0
696,1,Basic Membership,1,521.7,29114.92,,1,M,Town,38.0
